size time comparisons
2 8100 3
4 8100 10
8 5600 36
16 6300 136
32 8700 528
64 16700 2080
128 47300 8256
256 239800 32896
512 1334600 131328
1024 7312000 524800
2048 25524800 2098176
4096 169322200 8390656
8192 932861200 33558528
16384 3505321700 134225920
32768 16618583900 536887296
65536 75293039000 2147516416
