size time comparisons
2 1948000 3
4 186000 10
8 59000 36
16 24800 136
32 21600 528
64 2708100 1849
128 163500 7656
256 622000 28900
512 9405000 99275
1024 10277700 301010
2048 9848200 802070
4096 29846300 1807275
8192 55773400 3850429
16384 125958500 7913775
32768 233664900 16135392
65536 434855300 32593818
131072 796640800 65535480
262144 1697866200 130811848
524288 2513038500 262177952
