size time comparisons
2 4600 2
4 5400 8
8 5800 16
16 6800 20
32 8900 49
64 27100 175
128 26200 152
256 14000 142
512 307500 767
1024 672200 1983
2048 45300 1623
4096 104000 1023
8192 93900 6319
16384 523600 51766
32768 425300 22802
65536 171700 46061
131072 615200 146084
262144 245000 55405
524288 261600 77471
