size time comparisons
2 3000 3
4 3400 10
8 3600 36
16 4900 136
32 7200 528
64 14500 2080
128 35100 8256
256 120100 32896
512 538900 131328
1024 2493600 524800
2048 11419200 2098176
4096 49986300 8390656
8192 211252000 33558528
16384 917092300 134225920
32768 4998484000 536887296
65536 30844289000 2147516416
